Elapsed Time = 0:01.72, CPU Usage = 220%, CPU Time= 1.28, Job = 99
Elapsed Time = 0:02.11, CPU Usage = 198%, CPU Time= 1.29, Job = 100
Elapsed Time = 0:01.98, CPU Usage = 205%, CPU Time= 1.24, Job = 101
Elapsed Time = 0:02.31, CPU Usage = 190%, CPU Time= 1.27, Job = 102
Elapsed Time = 0:02.11, CPU Usage = 199%, CPU Time= 1.21, Job = 103
Elapsed Time = 0:01.89, CPU Usage = 209%, CPU Time= 1.23, Job = 104
Elapsed Time = 0:02.36, CPU Usage = 188%, CPU Time= 1.22, Job = 105
Elapsed Time = 0:01.97, CPU Usage = 204%, CPU Time= 1.17, Job = 106
Elapsed Time = 0:01.96, CPU Usage = 205%, CPU Time= 1.24, Job = 107
Elapsed Time = 0:02.13, CPU Usage = 197%, CPU Time= 1.23, Job = 108
Elapsed Time = 0:01.87, CPU Usage = 211%, CPU Time= 1.19, Job = 109
Elapsed Time = 0:02.31, CPU Usage = 188%, CPU Time= 1.31, Job = 110
Elapsed Time = 0:01.98, CPU Usage = 205%, CPU Time= 1.17, Job = 111
Elapsed Time = 0:01.95, CPU Usage = 206%, CPU Time= 1.20, Job = 112
Elapsed Time = 0:02.10, CPU Usage = 199%, CPU Time= 1.14, Job = 113
Elapsed Time = 0:01.81, CPU Usage = 214%, CPU Time= 1.23, Job = 114
Elapsed Time = 0:02.36, CPU Usage = 188%, CPU Time= 1.23, Job = 115
Elapsed Time = 0:01.98, CPU Usage = 205%, CPU Time= 1.21, Job = 116
Elapsed Time = 0:01.97, CPU Usage = 206%, CPU Time= 1.31, Job = 117
Elapsed Time = 0:02.06, CPU Usage = 201%, CPU Time= 1.22, Job = 118
Elapsed Time = 0:01.82, CPU Usage = 214%, CPU Time= 1.24, Job = 119
Elapsed Time = 0:02.06, CPU Usage = 201%, CPU Time= 1.27, Job = 120
Elapsed Time = 0:02.01, CPU Usage = 203%, CPU Time= 1.28, Job = 121
Elapsed Time = 0:02.35, CPU Usage = 189%, CPU Time= 1.40, Job = 122
Elapsed Time = 0:02.07, CPU Usage = 200%, CPU Time= 1.23, Job = 123
Elapsed Time = 0:01.84, CPU Usage = 214%, CPU Time= 1.26, Job = 124
Elapsed Time = 0:02.11, CPU Usage = 198%, CPU Time= 1.26, Job = 125
Elapsed Time = 0:02.62, CPU Usage = 180%, CPU Time= 1.27, Job = 126
Elapsed Time = 0:02.12, CPU Usage = 198%, CPU Time= 1.17, Job = 127
Elapsed Time = 0:02.12, CPU Usage = 199%, CPU Time= 1.39, Job = 128
Elapsed Time = 0:02.14, CPU Usage = 197%, CPU Time= 1.00, Job = 129
Elapsed Time = 0:02.12, CPU Usage = 198%, CPU Time= 1.31, Job = 130
Elapsed Time = 0:02.58, CPU Usage = 181%, CPU Time= 1.29, Job = 131
Elapsed Time = 0:02.09, CPU Usage = 200%, CPU Time= 0.93, Job = 132
Elapsed Time = 0:02.13, CPU Usage = 197%, CPU Time= 1.26, Job = 133
Elapsed Time = 0:02.65, CPU Usage = 179%, CPU Time= 1.41, Job = 134
Elapsed Time = 0:02.15, CPU Usage = 196%, CPU Time= 1.01, Job = 135
Elapsed Time = 0:02.62, CPU Usage = 180%, CPU Time= 1.08, Job = 136
Elapsed Time = 0:02.13, CPU Usage = 198%, CPU Time= 1.41, Job = 137
Elapsed Time = 0:02.18, CPU Usage = 195%, CPU Time= 1.45, Job = 138
Elapsed Time = 0:02.17, CPU Usage = 197%, CPU Time= 1.18, Job = 139
