Elapsed Time = 0:42.17, CPU Usage = 101%, CPU Time= 0.56, Job = 326
Elapsed Time = 3:00.28, CPU Usage = 100%, CPU Time= 0.63, Job = 558
Elapsed Time = 0:45.34, CPU Usage = 100%, CPU Time= 0.67, Job = 327
Elapsed Time = 2:56.88, CPU Usage = 100%, CPU Time= 0.61, Job = 821
Elapsed Time = 2:04.70, CPU Usage = 100%, CPU Time= 0.66, Job = 109
Elapsed Time = 2:12.12, CPU Usage = 100%, CPU Time= 0.61, Job = 328
Elapsed Time = 2:38.97, CPU Usage = 100%, CPU Time= 0.72, Job = 559
Elapsed Time = 2:15.73, CPU Usage = 100%, CPU Time= 0.57, Job = 110
Elapsed Time = 3:07.20, CPU Usage = 100%, CPU Time= 0.67, Job = 822
Elapsed Time = 2:13.85, CPU Usage = 100%, CPU Time= 0.68, Job = 329
Elapsed Time = 1:25.39, CPU Usage = 100%, CPU Time= 0.60, Job = 111
Elapsed Time = 2:37.58, CPU Usage = 100%, CPU Time= 0.65, Job = 560
Elapsed Time = 1:18.65, CPU Usage = 100%, CPU Time= 0.60, Job = 112
Elapsed Time = 2:00.13, CPU Usage = 100%, CPU Time= 0.61, Job = 330
Elapsed Time = 1:35.62, CPU Usage = 100%, CPU Time= 0.54, Job = 561
Elapsed Time = 3:12.53, CPU Usage = 100%, CPU Time= 0.61, Job = 823
Elapsed Time = 2:14.55, CPU Usage = 100%, CPU Time= 0.59, Job = 113
Elapsed Time = 2:18.56, CPU Usage = 100%, CPU Time= 0.62, Job = 331
Elapsed Time = 1:59.05, CPU Usage = 100%, CPU Time= 0.65, Job = 562
Elapsed Time = 1:54.58, CPU Usage = 99%, CPU Time= 0.77, Job = 114
Elapsed Time = 3:11.99, CPU Usage = 100%, CPU Time= 0.65, Job = 824
Elapsed Time = 1:36.35, CPU Usage = 100%, CPU Time= 0.64, Job = 332
Elapsed Time = 1:45.60, CPU Usage = 100%, CPU Time= 0.59, Job = 563
Elapsed Time = 0:44.57, CPU Usage = 100%, CPU Time= 0.54, Job = 333
Elapsed Time = 1:48.78, CPU Usage = 100%, CPU Time= 0.72, Job = 564
Elapsed Time = 2:32.66, CPU Usage = 100%, CPU Time= 0.43, Job = 115
Elapsed Time = 2:40.03, CPU Usage = 100%, CPU Time= 0.61, Job = 825
Elapsed Time = 2:00.22, CPU Usage = 100%, CPU Time= 0.64, Job = 334
