12.00 12.6 10.0 15.0 0.6 4.8 1 L23_BTC:L1_SLAC exp
5.90 7.0 4.0 12.0 1.1 18.6 1 L23_BTC:L23_BP exp
112.60 114.1 90.0 139.0 1.5 1.4 1 L23_BTC:L23_BTC exp
57.60 62.6 44.0 77.0 5.0 8.6 1 L23_BTC:L23_ChC exp
93.10 93.3 85.0 103.0 0.2 0.2 2 L23_BTC:L23_DBC gauss
460.30 503.7 464.0 524.0 43.4 9.4 2 L23_BTC:L23_LBC gauss
393.10 429.3 388.0 490.0 36.2 9.2 2 L23_BTC:L23_MC gauss
298.00 306.6 282.0 331.0 8.6 2.9 2 L23_BTC:L23_NBC gauss
36.70 37.0 28.0 45.0 0.3 0.8 2 L23_BTC:L23_NGC gauss
5333.70 5533.1 5364.0 5643.0 199.4 3.7 2 L23_BTC:L23_PC gauss
134.30 143.4 121.0 175.0 9.1 6.8 2 L23_BTC:L23_SBC gauss
15.40 15.4 12.0 19.0 0.0 0.2 1 L23_BTC:L4_BTC exp
5.70 4.7 1.0 7.0 -1.0 -17.3 1 L23_BTC:L4_ChC exp
18.30 19.4 14.0 26.0 1.1 6.2 1 L23_BTC:L4_DBC exp
97.90 101.9 90.0 110.0 4.0 4.0 2 L23_BTC:L4_LBC gauss
109.40 108.7 89.0 129.0 -0.7 -0.6 2 L23_BTC:L4_MC gauss
75.60 84.4 71.0 98.0 8.8 11.7 2 L23_BTC:L4_NBC gauss
3.10 4.0 2.0 6.0 0.9 29.0 2 L23_BTC:L4_NGC gauss
3644.60 3741.4 3645.0 3813.0 96.8 2.7 2 L23_BTC:L4_PC gauss
43.70 43.9 34.0 53.0 0.2 0.4 1 L23_BTC:L4_SBC exp
1109.30 1119.4 1082.0 1204.0 10.1 0.9 2 L23_BTC:L4_SP gauss
439.60 437.6 396.0 472.0 -2.0 -0.5 2 L23_BTC:L4_SS gauss
9.10 8.9 5.0 12.0 -0.2 -2.7 1 L23_BTC:L5_BP exp
38.90 41.3 31.0 54.0 2.4 6.1 1 L23_BTC:L5_BTC exp
28.60 27.4 19.0 37.0 -1.2 -4.1 1 L23_BTC:L5_DBC exp
85.30 90.6 77.0 111.0 5.3 6.2 2 L23_BTC:L5_LBC gauss
144.70 147.9 133.0 164.0 3.2 2.2 2 L23_BTC:L5_MC gauss
74.10 75.6 67.0 90.0 1.5 2.0 1 L23_BTC:L5_NBC exp
8.00 7.6 2.0 10.0 -0.4 -5.4 2 L23_BTC:L5_SBC gauss
449.30 443.9 414.0 468.0 -5.4 -1.2 2 L23_BTC:L5_STPC gauss
3686.40 3817.3 3766.0 3894.0 130.9 3.6 2 L23_BTC:L5_TTPC1 gauss
3354.10 3367.6 3331.0 3406.0 13.5 0.4 2 L23_BTC:L5_TTPC2 gauss
361.10 389.3 346.0 422.0 28.2 7.8 2 L23_BTC:L5_UTPC gauss
825.10 841.1 759.0 879.0 16.0 1.9 2 L23_BTC:L6_BPC gauss
2.70 2.7 1.0 5.0 0.0 0.5 1 L23_BTC:L6_BTC exp
164.00 170.0 163.0 175.0 6.0 3.7 1 L23_BTC:L6_IPC exp
34.70 34.0 25.0 41.0 -0.7 -2.0 1 L23_BTC:L6_LBC exp
20.40 22.1 14.0 29.0 1.7 8.5 1 L23_BTC:L6_MC exp
12.10 12.3 9.0 14.0 0.2 1.5 1 L23_BTC:L6_NBC exp
4.10 4.3 1.0 7.0 0.2 4.5 1 L23_BTC:L6_SBC exp
641.10 680.4 644.0 710.0 39.3 6.1 2 L23_BTC:L6_TPC_L1 gauss
582.30 608.6 576.0 630.0 26.3 4.5 2 L23_BTC:L6_TPC_L4 gauss
861.40 891.4 856.0 946.0 30.0 3.5 1 L23_BTC:L6_UTPC exp
2531.60 2562.9 2501.0 2710.0 31.3 1.2 2 L23_ChC:L23_PC gauss
408.30 435.4 403.0 464.0 27.1 6.6 2 L23_ChC:L4_PC gauss
195.10 206.1 187.0 224.0 11.0 5.7 2 L23_ChC:L4_SP gauss
153.70 160.3 147.0 169.0 6.6 4.3 2 L23_ChC:L4_SS gauss
6.10 6.7 4.0 10.0 0.6 10.1 2 L23_ChC:L5_STPC gauss
119.70 120.9 105.0 146.0 1.2 1.0 2 L23_ChC:L5_TTPC1 gauss
89.10 92.9 78.0 105.0 3.8 4.2 2 L23_ChC:L5_TTPC2 gauss
